sentence_id,word,tag
1,I,Pronoun_Subject
1,am,Auxiliary_verb
1,writing,Verb_ing
1,a,Determiner
1,letter,Noun
2,She,Pronoun_Subject
2,is,Auxiliary_verb
2,reading,Verb_ing
2,an,Determiner
2,interesting,Adjective
2,book,Noun
3,They,Pronoun_Subject
3,are,Auxiliary_verb
3,studying,Verb_ing
3,for,Preposition
3,the,Determiner
3,exam,Noun
4,He,Pronoun_Subject
4,has,Auxiliary_verb
4,completed,Verb_past_participle
4,his,Possessive_adjective
4,homework,Noun
5,We,Pronoun_Subject
5,were,Auxiliary_verb
5,watching,Verb_ing
5,a,Determiner
5,movie,Noun
6,She,Pronoun_Subject
6,will,Auxiliary_verb
6,have,Auxiliary_verb
6,cooked,Verb_past_participle
6,dinner,Noun
7,I,Pronoun_Subject
7,was,Auxiliary_verb
7,running,Verb_ing
7,late,Adverb
7,for,Preposition
7,the,Determiner
7,meeting,Noun
8,He,Pronoun_Subject
8,had,Auxiliary_verb
8,been,Auxiliary_verb
8,working,Verb_ing
8,on,Preposition
8,a,Determiner
8,project,Noun
9,They,Pronoun_Subject
9,are,Auxiliary_verb
9,happy,Adjective
9,with,Preposition
9,their,Possessive_adjective
9,results,Noun_plural
10,You,Pronoun_Subject
10,will,Auxiliary_verb
10,succeed,Verb
10,if,Conjunction
10,you,Pronoun_Subject
10,work,Verb
10,hard,Adverb
11,She,Pronoun_Subject
11,has,Auxiliary_verb
11,been,Auxiliary_verb
11,singing,Verb_ing
11,beautifully,Adverb
12,We,Pronoun_Subject
12,were,Auxiliary_verb
12,planning,Verb_ing
12,a,Determiner
12,trip,Noun
12,to,Preposition
12,the,Determiner
12,mountains,Noun_plural
13,He,Pronoun_Subject
13,had,Auxiliary_verb
13,forgotten,Verb_past_participle
13,his,Possessive_adjective
13,keys,Noun_plural
13,at,Preposition
13,home,Noun
14,They,Pronoun_Subject
14,are,Auxiliary_verb
14,enjoying,Verb_ing
14,their,Possessive_adjective
14,holiday,Noun
15,I,Pronoun_Subject
15,am,Auxiliary_verb
15,going,Verb_ing
15,to,Preposition
15,write,Verb
15,a,Determiner
15,book,Noun
16,You,Pronoun_Subject
16,have,Auxiliary_verb
16,completed,Verb_past_participle
16,the,Determiner
16,assignment,Noun
17,She,Pronoun_Subject
17,was,Auxiliary_verb
17,dancing,Verb_ing
17,gracefully,Adverb
18,We,Pronoun_Subject
18,will,Auxiliary_verb
18,have,Auxiliary_verb
18,finished,Verb_past_participle
18,the,Determiner
18,work,Noun
19,They,Pronoun_Subject
19,are,Auxiliary_verb
19,building,Verb_ing
19,a,Determiner
19,new,Adjective
19,house,Noun
20,He,Pronoun_Subject
20,had,Auxiliary_verb
20,been,Auxiliary_verb
20,thinking,Verb_ing
20,about,Preposition
20,his,Possessive_adjective
20,future,Noun
21,It,Pronoun_Subject
21,is,Auxiliary_verb
21,raining,Verb_ing
21,heavily,Adverb
22,You,Pronoun_Subject
22,are,Auxiliary_verb
22,writing,Verb_ing
22,a,Determiner
22,letter,Noun
23,They,Pronoun_Subject
23,were,Auxiliary_verb
23,painting,Verb_ing
23,the,Determiner
23,walls,Noun_plural
24,He,Pronoun_Subject
24,had,Auxiliary_verb
24,cooked,Verb_past_participle
24,dinner,Noun
24,before,Preposition
24,they,Pronoun_Subject
24,arrived,Verb_past
25,She,Pronoun_Subject
25,is,Auxiliary_verb
25,reading,Verb_ing
25,an,Determiner
25,interesting,Adjective
25,book,Noun
26,I,Pronoun_Subject
26,was,Auxiliary_verb
26,thinking,Verb_ing
26,about,Preposition
26,my,Possessive_adjective
26,plans,Noun_plural
27,They,Pronoun_Subject
27,had,Auxiliary_verb
27,been,Auxiliary_verb
27,working,Verb_ing
27,all,Adjective
27,day,Noun
28,We,Pronoun_Subject
28,will,Auxiliary_verb
28,meet,Verb
28,at,Preposition
28,the,Determiner
28,park,Noun
29,He,Pronoun_Subject
29,has,Auxiliary_verb
29,been,Auxiliary_verb
29,studying,Verb_ing
29,for,Preposition
29,hours,Noun_plural
30,She,Pronoun_Subject
30,will,Auxiliary_verb
30,have,Auxiliary_verb
30,completed,Verb_past_participle
30,her,Possessive_adjective
30,project,Noun
31,We,Pronoun_Subject
31,are,Auxiliary_verb
31,exploring,Verb_ing
31,the,Determiner
31,city,Noun
32,You,Pronoun_Subject
32,were,Auxiliary_verb
32,discussing,Verb_ing
32,a,Determiner
32,new,Adjective
32,idea,Noun
33,I,Pronoun_Subject
33,will,Auxiliary_verb
33,write,Verb
33,an,Determiner
33,article,Noun
34,They,Pronoun_Subject
34,are,Auxiliary_verb
34,playing,Verb_ing
34,soccer,Noun
35,He,Pronoun_Subject
35,has,Auxiliary_verb
35,finished,Verb_past_participle
35,his,Possessive_adjective
35,homework,Noun
36,She,Pronoun_Subject
36,was,Auxiliary_verb
36,learning,Verb_ing
36,a,Determiner
36,new,Adjective
36,skill,Noun
37,It,Pronoun_Subject
37,will,Auxiliary_verb
37,be,Auxiliary_verb
37,raining,Verb_ing
37,tomorrow,Adverb
38,We,Pronoun_Subject
38,have,Auxiliary_verb
38,seen,Verb_past_participle
38,the,Determiner
38,movie,Noun
39,She,Pronoun_Subject
39,is,Auxiliary_verb
39,baking,Verb_ing
39,a,Determiner
39,cake,Noun
40,He,Pronoun_Subject
40,was,Auxiliary_verb
40,driving,Verb_ing
40,on,Preposition
40,the,Determiner
40,highway,Noun
41,They,Pronoun_Subject
41,will,Auxiliary_verb
41,have,Auxiliary_verb
41,been,Auxiliary_verb
41,working,Verb_ing
41,all,Adjective
41,night,Noun
42,I,Pronoun_Subject
42,had,Auxiliary_verb
42,written,Verb_past_participle
42,my,Possessive_adjective
42,essay,Noun
43,You,Pronoun_Subject
43,are,Auxiliary_verb
43,speaking,Verb_ing
43,too,Adverb
43,loudly,Adverb
44,She,Pronoun_Subject
44,will,Auxiliary_verb
44,be,Auxiliary_verb
44,presenting,Verb_ing
44,her,Possessive_adjective
44,project,Noun
45,We,Pronoun_Subject
45,are,Auxiliary_verb
45,planning,Verb_ing
45,a,Determiner
45,vacation,Noun
46,He,Pronoun_Subject
46,had,Auxiliary_verb
46,been,Auxiliary_verb
46,reading,Verb_ing
46,about,Preposition
46,history,Noun
47,They,Pronoun_Subject
47,will,Auxiliary_verb
47,have,Auxiliary_verb
47,completed,Verb_past_participle
47,their,Possessive_adjective
47,assignments,Noun_plural
48,You,Pronoun_Subject
48,are,Auxiliary_verb
48,arriving,Verb_ing
48,at,Preposition
